datetime,weekday,avg_flow,avg_small_flow,avg_big_flow
2013/1/1 01:00,2,49.6219,578,447
2013/1/1 02:00,2,52.4536,460,376
2013/1/1 03:00,2,54.2933,308,284
2013/1/1 04:00,2,55.7802,176,174
2013/1/1 05:00,2,58.1472,121,113
2013/1/1 06:00,2,56.2546,89,81
2013/1/1 07:00,2,56.425,71,69
2013/1/1 08:00,2,41.1707,138,40
2013/1/1 09:00,2,37.9313,155,31
2013/1/1 10:00,2,38.6197,196,40
2013/1/1 11:00,2,38.8692,251,43
2013/1/1 12:00,2,37.3209,296,49
2013/1/1 13:00,2,39.0024,309,55
2013/1/1 14:00,2,37.6764,375,47
2013/1/1 15:00,2,36.8134,437,42
2013/1/1 16:00,2,40.7125,386,86
2013/1/1 17:00,2,37.5588,445,75
2013/1/1 18:00,2,47.0154,381,280
2013/1/1 19:00,2,50.45,329,274
2013/1/1 20:00,2,50.1869,371,278
2013/1/1 21:00,2,50.1118,332,257
2013/1/1 22:00,2,50.609,334,214
2013/1/1 23:00,2,37.6037,380,115
2013/1/2 00:00,3,37.0816,272,80
2013/1/2 01:00,3,37.1714,157,51
2013/1/2 02:00,3,36.1324,105,18
2013/1/2 03:00,3,41.3147,70,26
2013/1/2 04:00,3,42.6404,40,7
2013/1/2 05:00,3,47.6386,34,10
2013/1/2 06:00,3,42.2544,56,26
2013/1/2 07:00,3,40.8524,137,50
2013/1/2 08:00,3,41.3805,420,111
2013/1/2 09:00,3,40.4653,379,138
2013/1/2 10:00,3,40.277,324,95
2013/1/2 11:00,3,37.5252,333,56
2013/1/2 12:00,3,38.3532,245,40
2013/1/2 13:00,3,37.9562,135,17
2013/1/2 14:00,3,37.4708,342,45
2013/1/2 15:00,3,36.6197,403,57
2013/1/2 16:00,3,37.0904,479,59
2013/1/2 17:00,3,36.2792,495,50
2013/1/2 18:00,3,46.3556,546,196
2013/1/2 19:00,3,35.5038,801,157
2013/1/2 20:00,3,34.529,713,158
2013/1/2 21:00,3,36.1768,532,139
2013/1/2 22:00,3,38.3609,537,156
2013/1/2 23:00,3,39.1779,421,115
2013/1/3 00:00,4,35.8068,249,64
2013/1/3 01:00,4,38.3835,145,41
2013/1/3 02:00,4,41.124,80,25
2013/1/3 03:00,4,40.2397,57,14
2013/1/3 04:00,4,48.0695,42,16
2013/1/3 05:00,4,34.2364,50,5
2013/1/3 06:00,4,44.646,38,10
2013/1/3 07:00,4,40.1421,127,41
2013/1/3 08:00,4,42.8544,419,129
2013/1/3 09:00,4,41.7044,348,89
2013/1/3 10:00,4,39.3876,356,81
2013/1/3 11:00,4,39.2866,349,81
2013/1/3 12:00,4,39.2576,374,70
2013/1/3 13:00,4,38.6058,377,74
2013/1/3 14:00,4,39.3058,346,72
2013/1/3 15:00,4,39.2552,391,65
2013/1/3 16:00,4,39.2236,419,83
2013/1/3 17:00,4,43.1705,460,134
2013/1/3 18:00,4,46.081,540,358
2013/1/3 19:00,4,41.7781,686,283
2013/1/3 20:00,4,39.3208,653,231
2013/1/3 21:00,4,40.375,591,199
2013/1/3 22:00,4,37.4755,580,194
2013/1/3 23:00,4,43.1786,463,196
2013/1/4 00:00,5,34.4516,303,76
2013/1/4 01:00,5,35.2968,173,39
2013/1/4 02:00,5,37.2786,99,28
2013/1/4 03:00,5,35.2624,64,20
2013/1/4 04:00,5,40.6431,51,10
2013/1/4 05:00,5,35.4136,46,12
2013/1/4 06:00,5,37.0591,53,16
2013/1/4 07:00,5,41.1734,119,63
2013/1/4 08:00,5,42.627,362,91
2013/1/4 09:00,5,40.4597,429,102
2013/1/4 10:00,5,40.6583,339,80
2013/1/4 11:00,5,39.2124,343,78
2013/1/4 12:00,5,39.7874,352,64
2013/1/4 13:00,5,39.5158,367,62
2013/1/4 14:00,5,37.8086,371,52
2013/1/4 15:00,5,38.308,438,47
2013/1/4 16:00,5,37.9179,430,66
2013/1/4 17:00,5,36.821,529,73
2013/1/4 18:00,5,44.9834,599,339
2013/1/4 19:00,5,50.6666,529,466
2013/1/4 20:00,5,51.5427,470,446
2013/1/4 21:00,5,55.5319,399,423
2013/1/4 22:00,5,50.9565,479,464
2013/1/4 23:00,5,50.7565,459,425
2013/1/5 00:00,6,52.6544,311,307
2013/1/5 01:00,6,56.1212,173,203
2013/1/5 02:00,6,53.2498,92,72
2013/1/5 03:00,6,39.5797,130,45
2013/1/5 04:00,6,40.3035,68,27
2013/1/5 05:00,6,35.8136,74,18
2013/1/5 06:00,6,42.1053,83,25
2013/1/5 07:00,6,37.0696,107,31
2013/1/5 08:00,6,39.8396,162,26
2013/1/5 09:00,6,39.1803,245,32
2013/1/5 10:00,6,37.2673,352,45
2013/1/5 11:00,6,38.4049,407,52
2013/1/5 12:00,6,40.1915,444,63
2013/1/5 13:00,6,38.6855,473,58
2013/1/5 14:00,6,38.0523,479,46
2013/1/5 15:00,6,37.3755,553,63
2013/1/5 16:00,6,37.8137,554,57
2013/1/5 17:00,6,36.5729,628,70
2013/1/5 18:00,6,42.5607,547,263
2013/1/5 19:00,6,48.3252,420,400
2013/1/5 20:00,6,52.4719,343,363
2013/1/5 21:00,6,53.4652,368,373
2013/1/5 22:00,6,54.9747,400,407
2013/1/5 23:00,6,54.6554,384,396
2013/1/6 00:00,7,55.3233,289,266
2013/1/6 01:00,7,57.3887,179,196
2013/1/6 02:00,7,52.625,58,46
2013/1/6 03:00,7,33.1068,140,17
2013/1/6 04:00,7,37.1819,84,10
2013/1/6 05:00,7,40.807,57,17
2013/1/6 06:00,7,35.8321,87,12
2013/1/6 07:00,7,39.0003,97,22
2013/1/6 08:00,7,39.7112,148,32
2013/1/6 09:00,7,38.3229,236,33
2013/1/6 10:00,7,38.473,298,37
2013/1/6 11:00,7,39.4814,331,33
2013/1/6 12:00,7,38.2368,397,33
2013/1/6 13:00,7,36.793,431,35
2013/1/6 14:00,7,36.4972,469,33
